Roll Number,Total Marks,Rank
546189,1090,1063
528246,1090,1064
515629,1089,1065
503285,1089,1066
526695,1089,1067
521341,1089,1068
512183,1089,1069
517252,1089,1070
524200,1089,1071
545890,1089,1072
515151,1089,1073
515028,1089,1074
519093,1089,1075
523133,1089,1076
537989,1089,1077
518377,1089,1078
545467,1088,1079
544750,1088,1080
524294,1088,1081
509018,1088,1082
525553,1088,1083
503427,1088,1084
521682,1088,1085
547072,1088,1086
515632,1088,1087
519010,1088,1088
519034,1088,1089
545278,1088,1090
514856,1088,1091
534541,1088,1092
527709,1088,1093
525560,1088,1094
545885,1088,1095
534735,1088,1096
507923,1088,1097
538616,1088,1098
526558,1088,1099
500060,1088,1100
548999,1088,1101
538047,1088,1102
544123,1088,1103
519697,1087,1104
526595,1087,1105
514692,1087,1106
517129,1087,1107
538599,1087,1108
537803,1087,1109
515276,1087,1110
545776,1087,1111
527941,1087,1112
518539,1087,1113
500030,1087,1114
510828,1087,1115
543845,1087,1116
515038,1087,1117
525075,1087,1118
512581,1087,1119
524193,1087,1120
535149,1087,1121
503423,1087,1122
513079,1087,1123
535221,1087,1124
537786,1087,1125
544711,1087,1126
538610,1086,1127
504812,1086,1128
500013,1086,1129
528069,1086,1130
519075,1086,1131
548663,1086,1132
519031,1086,1133
545265,1086,1134
526656,1086,1135
539902,1086,1136
542519,1086,1137
543315,1086,1138
500375,1086,1139
535031,1086,1140
543278,1086,1141
522822,1086,1142
514535,1086,1143
538300,1086,1144
509055,1086,1145
525810,1086,1146
518985,1086,1147
548619,1086,1148
533210,1086,1149
512896,1086,1150
535265,1086,1151
510315,1086,1152
509691,1086,1153
530441,1085,1154
501353,1085,1155
523008,1085,1156
502571,1085,1157
530590,1085,1158
519063,1085,1159
508326,1085,1160
538602,1085,1161
525478,1085,1162
538851,1085,1163
503421,1085,1164
510564,1085,1165
540514,1085,1166
527662,1085,1167
515144,1085,1168
534989,1085,1169
549526,1085,1170
545346,1085,1171
518816,1084,1172
518695,1084,1173
537879,1084,1174
519019,1084,1175
513508,1084,1176
518794,1084,1177
518990,1084,1178
547434,1084,1179
513945,1084,1180
519695,1084,1181
548800,1084,1182
514578,1084,1183
545879,1084,1184
500350,1084,1185
541345,1084,1186
516820,1084,1187
524212,1084,1188
547055,1084,1189
521955,1084,1190
501765,1084,1191
524256,1084,1192
532058,1084,1193
501496,1084,1194
522247,1084,1195
537768,1084,1196
534408,1084,1197
536087,1084,1198
526722,1084,1199
516104,1084,1200
511152,1084,1201
529995,1084,1202
523690,1083,1203
526770,1083,1204
502570,1083,1205
526673,1083,1206
533965,1083,1207
504830,1083,1208
527229,1083,1209
526211,1083,1210
508312,1083,1211
549284,1083,1212
519013,1083,1213
535229,1083,1214
524901,1083,1215
502106,1083,1216
515596,1083,1217
503442,1083,1218
547810,1083,1219
547805,1083,1220
532772,1083,1221
510143,1083,1222
549334,1083,1223
525794,1083,1224
518516,1083,1225
544349,1083,1226
504682,1083,1227
518398,1083,1228
525412,1083,1229
547071,1082,1230
518987,1082,1231
510745,1082,1232
512804,1082,1233
514989,1082,1234
530020,1082,1235
529213,1082,1236
502739,1082,1237
543314,1082,1238
528616,1082,1239
529988,1082,1240
540131,1081,1241
511781,1081,1242
534445,1081,1243
549286,1081,1244
526562,1081,1245
539028,1081,1246
535416,1081,1247
519218,1081,1248
526398,1081,1249
515031,1081,1250
524337,1081,1251
504714,1081,1252
524491,1081,1253
508619,1081,1254
542809,1081,1255
508999,1081,1256
546247,1081,1257
512898,1081,1258
515033,1081,1259
503217,1081,1260
535950,1080,1261
510485,1080,1262
517262,1080,1263
501479,1080,1264
528963,1080,1265
543039,1080,1266
514689,1080,1267
532675,1080,1268
532725,1080,1269
538045,1080,1270
545552,1080,1271
535248,1080,1272
517742,1080,1273
519543,1080,1274
542491,1080,1275
526159,1080,1276
502746,1080,1277
549957,1080,1278
515598,1080,1279
513529,1080,1280
502584,1080,1281
506958,1080,1282
541367,1080,1283
537671,1080,1284
515983,1080,1285
500041,1080,1286
510228,1079,1287
506830,1079,1288
530388,1079,1289
510882,1079,1290
525170,1079,1291
504268,1079,1292
508814,1079,1293
540054,1079,1294
515437,1079,1295
515966,1079,1296
532254,1079,1297
508610,1079,1298
526785,1079,1299
523653,1079,1300
543068,1079,1301
519055,1079,1302
534844,1079,1303
545502,1079,1304
514176,1079,1305
532061,1079,1306
500010,1079,1307
538051,1079,1308
528503,1079,1309
534866,1079,1310
515284,1079,1311
519205,1079,1312
541769,1078,1313
511533,1078,1314
522461,1078,1315
546411,1078,1316
547788,1078,1317
535000,1078,1318
504045,1078,1319
521058,1078,1320
537751,1078,1321
549188,1078,1322
504462,1078,1323
537145,1078,1324
528905,1078,1325
515907,1078,1326
508328,1078,1327
503332,1078,1328
539010,1078,1329
535158,1078,1330
547822,1078,1331
527615,1078,1332
500854,1078,1333
539602,1078,1334
521203,1078,1335
502130,1078,1336
529305,1078,1337
531400,1078,1338
522876,1078,1339
517446,1078,1340
528334,1078,1341
506950,1078,1342
523672,1077,1343
519128,1077,1344
516470,1077,1345
519699,1077,1346
541777,1077,1347
529946,1077,1348
537790,1077,1349
506872,1077,1350
511500,1077,1351
525073,1077,1352
524248,1077,1353
513948,1077,1354
514699,1077,1355
535277,1077,1356
549287,1077,1357
534977,1077,1358
518761,1077,1359
529251,1077,1360
537715,1077,1361
520868,1077,1362
535262,1077,1363
535263,1077,1364
535231,1077,1365
524189,1077,1366
534988,1077,1367
518665,1077,1368
502369,1077,1369
550678,1077,1370
500059,1077,1371
523646,1077,1372
540064,1077,1373
516851,1076,1374
510717,1076,1375
500019,1076,1376
525517,1076,1377
507053,1076,1378
543381,1076,1379
502300,1076,1380
513987,1076,1381
522364,1076,1382
520346,1076,1383
510962,1076,1384
510566,1076,1385
510477,1076,1386
532312,1076,1387
510324,1076,1388
531623,1076,1389
538363,1076,1390
526556,1076,1391
515475,1076,1392
520263,1076,1393
510741,1076,1394
549972,1076,1395
536813,1076,1396
509211,1075,1397
541626,1075,1398
523754,1075,1399
548261,1075,1400
516413,1075,1401
534739,1075,1402
513176,1075,1403
547789,1075,1404
523230,1075,1405
525873,1075,1406
525339,1075,1407
534460,1075,1408
533335,1075,1409
502897,1075,1410
530413,1075,1411
524296,1075,1412
517106,1075,1413
548687,1075,1414
531621,1075,1415
540157,1075,1416
537711,1075,1417
534971,1075,1418
532072,1075,1419
501748,1075,1420
507239,1075,1421
532670,1075,1422
521958,1075,1423
524921,1075,1424
513305,1074,1425
512423,1074,1426
540306,1074,1427
515231,1074,1428
520080,1074,1429
541986,1074,1430
521431,1074,1431
527182,1074,1432
522184,1074,1433
549344,1074,1434
521191,1074,1435
525152,1074,1436
511603,1074,1437
550637,1074,1438
532414,1074,1439
518381,1074,1440
537814,1074,1441
513790,1074,1442
518380,1074,1443
524899,1074,1444
516116,1074,1445
518527,1074,1446
543050,1074,1447
522362,1074,1448
502586,1074,1449
504461,1074,1450
517200,1074,1451
515627,1074,1452
523687,1074,1453
514636,1074,1454
515719,1073,1455
503286,1073,1456
506365,1073,1457
529138,1073,1458
508614,1073,1459
517163,1073,1460
504683,1073,1461
500812,1073,1462
515442,1073,1463
548755,1073,1464
514704,1073,1465
514714,1073,1466
532697,1073,1467
532679,1073,1468
508311,1073,1469
511124,1073,1470
504246,1073,1471
533656,1073,1472
521961,1073,1473
527822,1073,1474
535649,1073,1475
525085,1073,1476
506399,1073,1477
525086,1073,1478
509025,1073,1479
534890,1073,1480
526494,1073,1481
524888,1072,1482
522187,1072,1483
516419,1072,1484
503806,1072,1485
504190,1072,1486
519041,1072,1487
517160,1072,1488
515138,1072,1489
535659,1072,1490
515046,1072,1491
542492,1072,1492
517149,1072,1493
504236,1072,1494
506882,1072,1495
515690,1072,1496
515045,1072,1497
525444,1072,1498
527574,1072,1499
526219,1072,1500
511933,1072,1501
510175,1072,1502
517120,1072,1503
540188,1071,1504
528150,1071,1505
529719,1071,1506
519479,1071,1507
522769,1071,1508
515634,1071,1509
526942,1071,1510
522758,1071,1511
535890,1071,1512
547808,1071,1513
507468,1071,1514
544014,1071,1515
538622,1071,1516
515274,1071,1517
505293,1071,1518
541939,1071,1519
518994,1071,1520
521568,1071,1521
525316,1071,1522
510830,1071,1523
522069,1071,1524
526164,1071,1525
532269,1071,1526
512648,1071,1527
512589,1071,1528
525436,1071,1529
530433,1071,1530
532234,1071,1531
510319,1071,1532
531442,1071,1533
514574,1071,1534
522244,1071,1535
539747,1071,1536
530370,1071,1537
508015,1071,1538
517127,1071,1539
535877,1071,1540
533162,1070,1541
525275,1070,1542
538727,1070,1543
537705,1070,1544
514566,1070,1545
527790,1070,1546
510326,1070,1547
539002,1070,1548
527158,1070,1549
503324,1070,1550
545961,1070,1551
545138,1070,1552
549224,1070,1553
514560,1070,1554
544010,1070,1555
537670,1070,1556
518999,1070,1557
543016,1070,1558
506391,1070,1559
515160,1070,1560
512805,1070,1561
548738,1070,1562
534224,1070,1563
512582,1070,1564
523244,1070,1565
513469,1070,1566
513957,1070,1567
515283,1070,1568
536232,1070,1569
540102,1070,1570
503047,1070,1571
541266,1070,1572
522440,1070,1573
503329,1070,1574
514691,1069,1575
534815,1069,1576
549534,1069,1577
506555,1069,1578
549168,1069,1579
532432,1069,1580
509053,1069,1581
522686,1069,1582
544011,1069,1583
530373,1069,1584
524879,1069,1585
531739,1069,1586
525860,1069,1587
532239,1069,1588
515828,1069,1589
500011,1069,1590
503323,1069,1591
514613,1069,1592
500517,1069,1593
547078,1069,1594
503319,1069,1595
540181,1069,1596
530152,1069,1597
511605,1069,1598
523992,1068,1599
520692,1068,1600
526579,1068,1601
540127,1068,1602
500738,1068,1603
546190,1068,1604
519476,1068,1605
524922,1068,1606
502445,1068,1607
524498,1068,1608
508310,1068,1609
524894,1068,1610
500363,1068,1611
523667,1068,1612
517980,1068,1613
524704,1068,1614
507347,1068,1615
537155,1068,1616
521848,1068,1617
537674,1068,1618
515643,1068,1619
519020,1068,1620
540388,1068,1621
514997,1068,1622
508786,1068,1623
514623,1067,1624
515956,1067,1625
535038,1067,1626
508323,1067,1627
510314,1067,1628
504245,1067,1629
537857,1067,1630
537854,1067,1631
513718,1067,1632
520269,1067,1633
528394,1067,1634
525045,1067,1635
525113,1067,1636
527549,1067,1637
509000,1067,1638
523590,1067,1639
544103,1067,1640
538615,1067,1641
527575,1067,1642
532415,1067,1643
516658,1067,1644
500524,1067,1645
526681,1067,1646
517695,1067,1647
547804,1067,1648
525559,1067,1649
521089,1067,1650
535128,1067,1651
535266,1067,1652
538455,1066,1653
525435,1066,1654
523994,1066,1655
512803,1066,1656
507933,1066,1657
549408,1066,1658
511825,1066,1659
504671,1066,1660
525726,1066,1661
