Roll Number,Total Marks,Rank
114462,1201,1489
118814,1201,1490
108493,1201,1491
121278,1201,1492
113053,1201,1493
115669,1201,1494
115558,1201,1495
105937,1201,1496
116331,1201,1497
130627,1201,1498
115866,1201,1499
111249,1201,1500
124055,1201,1501
121383,1201,1502
110603,1201,1503
109363,1201,1504
114576,1201,1505
133204,1201,1506
126777,1201,1507
112042,1201,1508
100309,1201,1509
122142,1201,1510
119650,1201,1511
115434,1201,1512
114789,1201,1513
104127,1201,1514
102477,1201,1515
101277,1201,1516
100485,1201,1517
123721,1201,1518
115107,1201,1519
126324,1201,1520
113775,1201,1521
126523,1201,1522
105424,1201,1523
103339,1201,1524
100935,1201,1525
110252,1201,1526
110123,1201,1527
115141,1201,1528
108637,1201,1529
121730,1201,1530
117279,1201,1531
130810,1201,1532
100410,1201,1533
113867,1201,1534
124236,1201,1535
109808,1201,1536
104474,1201,1537
100333,1201,1538
121440,1200,1539
108643,1200,1540
121441,1200,1541
108687,1200,1542
131671,1200,1543
113832,1200,1544
116155,1200,1545
109534,1200,1546
103438,1200,1547
126451,1200,1548
104440,1200,1549
112615,1200,1550
117281,1200,1551
114698,1200,1552
130202,1200,1553
103729,1200,1554
114104,1200,1555
126902,1200,1556
124861,1200,1557
114548,1200,1558
103313,1200,1559
115219,1200,1560
103669,1200,1561
112783,1200,1562
116970,1200,1563
105163,1200,1564
103552,1200,1565
117076,1200,1566
103372,1200,1567
115062,1200,1568
116236,1200,1569
130524,1200,1570
112881,1200,1571
122062,1200,1572
121952,1200,1573
109916,1200,1574
121697,1200,1575
130824,1200,1576
125100,1200,1577
130823,1200,1578
108852,1200,1579
109359,1200,1580
113023,1200,1581
130666,1199,1582
103703,1199,1583
110735,1199,1584
101278,1199,1585
110729,1199,1586
133033,1199,1587
110547,1199,1588
123915,1199,1589
108503,1199,1590
116053,1199,1591
109346,1199,1592
105439,1199,1593
115670,1199,1594
103963,1199,1595
125101,1199,1596
101379,1199,1597
103428,1199,1598
121322,1199,1599
103444,1199,1600
113118,1199,1601
103248,1199,1602
103264,1199,1603
112648,1199,1604
106517,1199,1605
112839,1199,1606
103999,1199,1607
111567,1199,1608
113776,1199,1609
124251,1199,1610
117300,1199,1611
119644,1199,1612
113128,1199,1613
126783,1199,1614
103195,1199,1615
115733,1199,1616
103742,1199,1617
103209,1199,1618
123737,1199,1619
115149,1199,1620
101774,1199,1621
122069,1199,1622
117196,1199,1623
109372,1199,1624
125607,1199,1625
119578,1198,1626
122042,1198,1627
101416,1198,1628
110711,1198,1629
109798,1198,1630
103761,1198,1631
